,synchronous,precedence,succession,reason,result,arg1-as-cond,arg2-as-cond,arg1-as-negcond,arg2-as-negcond,arg1-as-goal,arg2-as-goal,arg1-as-denier,arg2-as-denier,contrast,similarity,conjunction,disjunction,arg1-as-instance,arg2-as-instance,arg1-as-detail,arg2-as-detail,equivalence,arg1-as-manner,arg2-as-manner,arg1-as-excpt,arg2-as-excpt,arg2-as-subst,arg1-as-subst,differentcon,norel
arg2-as-goal,-0.07192503063509198,-0.030550026785858036,0.004370065768893591,0.1856712638814314,-0.03901087553428521,-0.0025162062341058645,0.052246558734168586,,-0.01697991106489231,-6.378632507245322e-19,1.0,-0.046728563819025695,-0.04112592648300415,-0.09421647521356331,-0.02555745559666707,-0.09099814402995621,-0.008082713138616584,-0.052232496036744694,-0.04925713552061984,-0.03494343503728475,-0.04480703202972691,-1.0304070545341628e-17,-0.027119412365297708,0.03135942158513052,-0.013856317780401,-0.02081346884074215,0.007427219373297414,-0.02780568328391554,,0.019903621869145717
arg1-as-denier,0.03765984021838692,-0.09729932639726857,-0.047908980146246324,-0.05616933624840452,-0.06299755125876089,0.014184694801368502,0.003363037666069661,,0.01656717039164078,-0.0071196805636589665,-0.046728563819025695,1.0,0.3332121712750829,0.24116086756743685,-0.0328524744014419,-0.10834767000535522,-0.011099155241468057,0.03144374540337183,-0.03440178949995742,-0.05186528654911854,-0.13302192906020088,-0.05741044771453365,0.00605298804384935,-0.017198397871877904,0.20880123036106538,0.06543541835230018,0.017311517128813642,0.012057686313618502,,0.021245607209371027
arg2-as-denier,0.04918268682802565,-0.01617054126929185,-0.01453864507563159,-0.06753334084568985,-0.03359562403672055,0.024007664523180067,-0.0016397883124013913,,-0.017053576968537727,-0.029314848006880636,-0.04112592648300415,0.3332121712750829,1.0,0.22735456840669716,-0.06417083612394532,-0.13152937137021184,-0.021647411476966784,-0.02190938977977339,-0.057081730874183424,-0.013418689533955211,-0.13080084093976826,-0.056985427840006715,-0.008010902245629128,-0.015747735887633157,0.09045680955723874,0.08361506523829615,0.029837766937808305,-0.0017453947426198004,,-0.026140732673026558
contrast,0.1223958277661514,-0.05622682705509711,-0.021187904460095778,-0.1218410551081302,-0.13626657587876775,0.0274814412383129,-0.04098135283585791,,0.04832431540119917,-0.04592333741000461,-0.09421647521356331,0.24116086756743685,0.22735456840669716,1.0,0.024370225098467438,-0.10402111180632617,0.09355408120051993,-0.033922249308450406,-0.08643403000701308,-0.08330802340221893,-0.18521887850567123,-0.041410015489013526,0.018487875751229666,-0.06801842648448386,0.13852949916870094,0.03633456771603331,0.03312290387539109,0.07148586347638436,,-0.015542591169210803
similarity,0.0016203161861888353,-0.09109513065429738,-0.05679721574580921,-0.07055496712885079,-0.0974874205231599,0.02131345193035783,0.0210904145233587,,-0.01797848052744848,-0.004635711543353765,-0.02555745559666707,-0.0328524744014419,-0.06417083612394532,0.024370225098467438,1.0,0.097192243918035,0.12665911636403962,0.03018960339238737,0.011032554126099861,0.012949446695726162,-0.09842928902367917,0.10813687544777341,0.013850414753779657,-0.01250019157850083,-0.014671192236816186,-0.022037485522266573,-0.027524020254264387,-0.002944090422863734,,-0.016859305179283187
conjunction,-0.036978520719310154,-0.2567292781411095,-0.17405215975172356,-0.22597430057656095,-0.3304794576090586,-0.05809989980726981,-0.0758087854118406,,-0.045217975461773655,-0.04529312446696381,-0.09099814402995621,-0.10834767000535522,-0.13152937137021184,-0.10402111180632617,0.097192243918035,1.0,-0.03831261881258235,-0.09901945807821688,-0.008772882121730686,0.02334014692466455,-0.0003596755767959872,-0.0030743427398661816,-0.07377561621465804,-0.03772969696012178,-0.06192597194297641,-0.07422268737019634,-0.04239717985350713,-0.023826827819050964,,-0.039217538835499687
disjunction,0.0002869639542668866,-0.04970041947624669,-0.004814386965334333,-0.021399307351871344,-0.01774203223557514,-0.0278383439395652,-0.028473169358146717,,-0.009552165017869544,0.06568012473913219,-0.008082713138616584,-0.011099155241468057,-0.021647411476966784,0.09355408120051993,0.12665911636403962,-0.03831261881258235,1.0,-0.005070136845224644,-0.03878207167147327,-0.05425130978533479,-0.08888446650031954,-0.002364375092233606,-0.03140984570768491,-0.03908793399776051,-0.007794966267643944,-0.011708759144924035,0.08983200991690507,0.08212195513123996,,-0.027561645569848397
arg1-as-instance,0.00017453479641569162,-0.05553639011097905,-0.062114496697697516,-0.08416006720577257,0.08848646234241608,0.07902610375438335,-0.03244743156527036,,-0.017913356544593997,0.06335409810890898,-0.052232496036744694,0.03144374540337183,-0.02190938977977339,-0.033922249308450406,0.03018960339238737,-0.09901945807821688,-0.005070136845224644,1.0,-0.088183804025017,0.15051985987247363,-0.12788373804913603,0.03114255983106808,0.10484364663003716,0.01107161708757048,-0.014618048342357116,-0.021957658485320004,-0.027424319179950134,-0.02933425956869077,,0.12511367498989703
arg2-as-instance,-0.05776073847036642,-0.14030837463219115,-0.11557537389946383,-0.05519775608758241,-0.14748889776146323,-0.058338127776319755,0.05391082607867073,,0.01026176107553924,-0.028464249145877103,-0.04925713552061984,-0.03440178949995742,-0.057081730874183424,-0.08643403000701308,0.011032554126099861,-0.008772882121730686,-0.03878207167147327,-0.088183804025017,1.0,-0.07083552973900392,-0.03646602957994094,-0.02286014429154182,-0.06266588792166736,0.0624300433974674,-0.022076978523559776,0.001143505530959106,-0.041417711268930055,-0.03284474042826537,,0.0026917364821804437
arg1-as-detail,-0.022285395000745414,-0.08808557243848342,-0.049426040271790206,-0.10761965739577369,-0.006683725186778192,-0.011819173913525478,-0.040399418797694875,,-0.02236878300515713,0.011352794064273647,-0.03494343503728475,-0.05186528654911854,-0.013418689533955211,-0.08330802340221893,0.012949446695726162,0.02334014692466455,-0.05425130978533479,0.15051985987247363,-0.07083552973900392,1.0,-0.08004541216149258,0.06899674102628309,0.10617071753850915,-0.032614065614498734,-0.01825386272612119,-0.008808814966811379,0.025523500385574608,0.0006629919185286014,,0.017595858513819097
arg2-as-detail,-0.15869569522064148,-0.19346867144921687,-0.14872627178370254,-0.12865069497470344,-0.29640115593447014,-0.09120298997243638,0.011265161469224221,,-0.003103474377065468,-0.1224509466754621,-0.04480703202972691,-0.13302192906020088,-0.13080084093976826,-0.18521887850567123,-0.09842928902367917,-0.0003596755767959872,-0.08888446650031954,-0.12788373804913603,-0.03646602957994094,-0.08004541216149258,1.0,-0.015771685722995102,-0.09038696420967418,-0.004973062249534033,-0.030232493791755393,-0.00974812510401111,-0.0471730344352164,-0.030889860849195226,,-0.05967474237137101
equivalence,-0.008057752297246293,-0.053619413056577865,-0.008628810985595776,0.012196277100922316,-0.047866576580422725,0.015733000894366814,-0.0064476386598969464,,0.08195558702597189,-0.04322468315469123,-1.0304070545341628e-17,-0.05741044771453365,-0.056985427840006715,-0.041410015489013526,0.10813687544777341,-0.0030743427398661816,-0.002364375092233606,0.03114255983106808,-0.02286014429154182,0.06899674102628309,-0.015771685722995102,1.0,0.015749411868881853,0.03520941814908772,-0.00911988921955451,-0.013698915766113772,0.1051009011049534,-0.01830102017305133,,0.01813856781957044
arg1-as-manner,0.002690265520435622,-0.01061900972561451,-0.015819824841998988,-0.03680296478156771,0.06689793600464736,0.017228096699846075,-0.03278134685799643,,-0.010997470311678139,0.058738950229865375,-0.027119412365297708,0.00605298804384935,-0.008010902245629128,0.018487875751229666,0.013850414753779657,-0.07377561621465804,-0.03140984570768491,0.10484364663003716,-0.06266588792166736,0.10617071753850915,-0.09038696420967418,0.015749411868881853,1.0,-0.024236327571674852,-0.008974395851472285,-0.013480371291953579,-0.01683649489411324,-0.018009056422153003,,0.019265798574692097
arg2-as-manner,-0.016962469073852262,-0.05604284337813933,-0.05966034539522376,-0.01630826594,-0.028336590563159566,-0.033005310292990475,0.12311776513238136,,-0.016713613479427843,0.005621176128687202,0.03135942158513052,-0.017198397871877904,-0.015747735887633157,-0.06801842648448386,-0.01250019157850083,-0.03772969696012178,-0.03908793399776051,0.01107161708757048,0.0624300433974674,-0.032614065614498734,-0.004973062249534033,0.03520941814908772,-0.024236327571674852,1.0,-0.013639007810151605,0.012915748407663685,-0.025587581510427355,-0.027369604066986887,,0.02548856987288629
arg1-as-excpt,0.016480213149631176,-0.0208360479314163,-0.017472573925340355,-0.02429949326366489,-0.03155033937253998,0.17067287689063668,-0.008135331046962131,,-0.0027292369057379065,-0.010555915731443537,-0.013856317780401,0.20880123036106538,0.09045680955723874,0.13852949916870094,-0.014671192236816186,-0.06192597194297641,-0.007794966267643944,-0.014618048342357116,-0.022076978523559776,-0.01825386272612119,-0.030232493791755393,-0.00911988921955451,-0.008974395851472285,-0.013639007810151605,1.0,-0.0033454172450896507,-0.004178304821563084,-0.0044692988507241595,,-0.007874891203342612
arg2-as-excpt,-0.01219266366366993,-0.0013954374292976467,0.03310351907609549,-0.02321121768461764,0.029321374061219818,-0.017010094320383994,-0.012220018473780144,,-0.004099565858465424,-0.015855960194032268,-0.02081346884074215,0.06543541835230018,0.08361506523829615,0.03633456771603331,-0.022037485522266573,-0.07422268737019634,-0.011708759144924035,-0.021957658485320004,0.001143505530959106,-0.008808814966811379,-0.00974812510401111,-0.013698915766113772,-0.013480371291953579,0.012915748407663685,-0.0033454172450896507,1.0,-0.006276199679378972,-0.006713299582453723,,-0.011828813778855363
arg2-as-subst,0.02102941181634954,-0.007078108128968518,0.009577378264472115,0.04688345067157534,-0.011284480485985059,-0.021244990955440204,-0.015262359929401637,,-0.005120209091372228,-0.01980351928492014,0.007427219373297414,0.017311517128813642,0.029837766937808305,0.03312290387539109,-0.027524020254264387,-0.04239717985350713,0.08983200991690507,-0.027424319179950134,-0.041417711268930055,0.025523500385574608,-0.0471730344352164,0.1051009011049534,-0.01683649489411324,-0.025587581510427355,-0.004178304821563084,-0.006276199679378972,1.0,-0.00838466772870721,,-0.01477375945201081
arg1-as-subst,0.033071093962511816,0.01810966200983747,-0.015240725969964349,-0.04210470671196887,-0.005665106326713356,-0.022724577960607936,-0.016325292338603338,,-0.005476801139409607,0.022947942743970696,-0.02780568328391554,0.012057686313618502,-0.0017453947426198004,0.07148586347638436,-0.002944090422863734,-0.023826827819050964,0.08212195513123996,-0.02933425956869077,-0.03284474042826537,0.0006629919185286014,-0.030889860849195226,-0.01830102017305133,-0.018009056422153003,-0.027369604066986887,-0.0044692988507241595,-0.006713299582453723,-0.00838466772870721,1.0,,-0.015802663749899953
differentcon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
norel,0.017503093558463793,-0.007684009754754633,-0.009391178441698756,-0.024334097270417816,-0.029732519905033523,0.020288448463468077,0.0756244185471624,,-0.009650107221674207,0.0015551617868170857,0.019903621869145717,0.021245607209371027,-0.026140732673026558,-0.015542591169210803,-0.016859305179283187,-0.039217538835499687,-0.027561645569848397,0.12511367498989703,0.0026917364821804437,0.017595858513819097,-0.05967474237137101,0.01813856781957044,0.019265798574692097,0.02548856987288629,-0.007874891203342612,-0.011828813778855363,-0.01477375945201081,-0.015802663749899953,,1.0
