,synchronous,precedence,succession,reason,result,arg1-as-cond,arg2-as-cond,arg1-as-negcond,arg2-as-negcond,arg1-as-goal,arg2-as-goal,arg1-as-denier,arg2-as-denier,contrast,similarity,conjunction,disjunction,arg1-as-instance,arg2-as-instance,arg1-as-detail,arg2-as-detail,equivalence,arg1-as-manner,arg2-as-manner,arg1-as-excpt,arg2-as-excpt,arg2-as-subst,arg1-as-subst,differentcon,norel
arg2-as-goal,-0.08211901567798159,-0.025344572086258354,0.0013967960608238994,0.1939808350231906,-0.03722308336895609,0.0010235294892394625,0.05247818162617068,,-0.018666086753325213,0.022986880350661713,1.0,-0.034716654692449105,-0.036887464521856025,-0.10877209845936842,-0.03827372571244174,-0.07621928560189144,-0.0032293274729600775,-0.08991169178252102,-0.06125102110706545,-0.040538388968986455,-0.0336295474389882,-0.0032553120735083966,-0.02314324471863155,0.05399992695263962,-0.015232307683011289,-0.02412466438557629,0.014120254660887952,-0.030566903114480064,,0.012867115062039509
arg1-as-denier,0.0937294786554395,-0.08314804181773928,-0.02499308875329744,-0.007092193539264324,-0.05247509282967163,0.010870301569061899,0.01928855950070943,,0.030559725389211853,-0.011646267699784402,-0.034716654692449105,1.0,0.27868615814752595,0.26005822462877126,-0.018763990234917625,-0.0981965221701238,0.019342937593803854,0.03888532357562624,-0.006205905950727666,-0.04884608366554443,-0.12913001514778388,-0.06354919495044752,0.020905010892804422,-0.0069007080293422875,0.13213125359995834,0.01741026533510338,0.004365898408605387,0.02799812310627332,,0.038828933237760925
arg2-as-denier,0.08347850415574515,0.030881707110306852,0.005813262752875532,-0.038893316063113255,-0.010557003696299671,0.053140044819975585,0.0022501938658933355,,-0.01973176621144339,-0.017939411557683024,-0.036887464521856025,0.27868615814752595,1.0,0.26226819886168135,-0.07247892875163164,-0.11985918411779353,0.0061932560842931856,0.011345320076303393,-0.0428079323454194,-0.009109485274812392,-0.1396240721759442,-0.06760273050317483,0.00905853291308157,-0.008586850054049472,0.13515357392483796,0.027472690038460465,0.014415463152525098,0.005628822796929004,,-0.018482305181865985
contrast,0.19223363323978704,-0.00797421829484855,0.04946454909749692,-0.10824484517695365,-0.09599995863954343,0.03871754357361512,-0.04955095464978316,,0.061392736235991216,-0.036578372278442545,-0.10877209845936842,0.26005822462877126,0.26226819886168135,1.0,0.010341591479413003,-0.056439914369933536,0.11303155695171897,-0.0010042086177719483,-0.04964905494669132,-0.06092761079843407,-0.18964694387292672,-0.06278104347849085,0.018873896756104486,-0.06742861562395536,0.09909124296413045,-0.005026640309715569,0.031850008380098424,0.08676946217045349,,-0.03244834739509458
similarity,0.012607535298612478,-0.09631373374432665,-0.06695323751592687,-0.0743529195133835,-0.07957310066334536,0.03575603504412076,0.02075852837806773,,-0.020077403634950232,0.012018883466729354,-0.03827372571244174,-0.018763990234917625,-0.07247892875163164,0.010341591479413003,1.0,0.10677475896742834,0.08733159769895929,0.06624374616532089,0.059320029260914495,-0.012357741641763178,-0.0998010997711354,0.08419335668011706,0.04361387029498624,-0.00016423808227913162,-0.01638400130059885,-0.025948696736911865,-0.03073735088222381,0.004363964550219806,,-0.019683327442644418
conjunction,-0.006798630170627019,-0.24995044156301294,-0.1768054343827948,-0.14299306259927763,-0.29759992709215294,-0.05003914564815726,-0.07223118098869767,,-0.048051871963307395,-0.036448565530177904,-0.07621928560189144,-0.0981965221701238,-0.11985918411779353,-0.056439914369933536,0.10677475896742834,1.0,-0.02057323891631932,-0.10225660558049646,0.06569109933959177,0.014468872397881305,0.10699499235562314,0.010782879921621686,-0.07274183902581356,-0.024630017915885673,-0.07074802365431364,-0.08214453250697171,-0.039378774894814526,-0.020750338168359868,,-0.022488227774609397
disjunction,0.021558609165797427,-0.07640461856047281,0.010890534976052963,-0.031898554916068536,-0.03936261250539499,-0.024496867828727103,-0.03549825953423565,,-0.01145701399962028,0.056950558358092256,-0.0032293274729600775,0.019342937593803854,0.0061932560842931856,0.11303155695171897,0.08733159769895929,-0.02057323891631932,1.0,0.00409048026986827,-0.0393089909878138,-0.06350563904850194,-0.08800963083026124,0.02098624391366794,-0.03864890607019019,-0.043371348898534806,-0.009349402725758528,-0.014807421676235938,0.17901148126936245,0.10587881695109613,,-0.03483785434915441
arg1-as-instance,0.014853728822524772,-0.032676260078192666,-0.0481253629297012,-0.08532882319434393,0.12565652401438293,0.06548237403423962,-0.02521151311708491,,-0.0206426475385224,0.0861027875272633,-0.08991169178252102,0.03888532357562624,0.011345320076303393,-0.0010042086177719483,0.06624374616532089,-0.10225660558049646,0.00409048026986827,1.0,-0.09680212138562631,0.16894253131077303,-0.1462925908822913,0.055372104607503525,0.114839483583289,0.040917309725595034,-0.01684526397278823,-0.026679236546882614,-0.03160270680742378,-0.033803646992263674,,0.08554914065803086
arg2-as-instance,-0.048862425472154414,-0.1708699591594217,-0.17235969525240977,0.008385080944232242,-0.12862579850436925,-0.08169938252432632,0.09354437549276241,,0.04290812298205213,-0.029387438185124067,-0.06125102110706545,-0.006205905950727666,-0.0428079323454194,-0.04964905494669132,0.059320029260914495,0.06569109933959177,-0.0393089909878138,-0.09680212138562631,1.0,-0.046571126963985084,0.04131624023217098,0.01187895577408109,-0.06512242621009932,0.1075049670292225,-0.02779203472196436,0.01576637717622775,-0.05213949311324471,-0.03213904634549888,,-0.02207505373877299
arg1-as-detail,-0.03106430637697405,-0.08076420774836582,-0.039518095280580326,-0.10232103141987502,0.039976192871841086,-0.0028806958227671022,-0.03574397662409315,,-0.026895664261625863,0.02951381097803754,-0.040538388968986455,-0.04884608366554443,-0.009109485274812392,-0.06092761079843407,-0.012357741641763178,0.014468872397881305,-0.06350563904850194,0.16894253131077303,-0.046571126963985084,1.0,-0.06618548112179388,0.09005097282161138,0.06815852372219913,-0.030608332864480885,-0.02194798721264242,0.0023768354759654943,-0.0030324617799973655,0.014840697120829999,,0.03456910375209631
arg2-as-detail,-0.15357039571770761,-0.17456641631520697,-0.15064700352241206,-0.04400189867936344,-0.3051967273495031,-0.09279157295832116,0.024881843492381737,,0.01708136630386819,-0.1379738590425271,-0.0336295474389882,-0.12913001514778388,-0.1396240721759442,-0.18964694387292672,-0.0998010997711354,0.10699499235562314,-0.08800963083026124,-0.1462925908822913,0.04131624023217098,-0.06618548112179388,1.0,0.01115044007214906,-0.09402594062610302,0.01572133831431233,-0.03115250646592117,0.006355831627742974,-0.05059625168764298,-0.03228962081674551,,-0.06831308199060082
equivalence,-0.013577492959404002,-0.0454356954685446,-0.015765870290351282,0.03944486600936781,-0.034910166392846824,0.02536228698087579,-0.0021254447214259335,,0.08942109509142102,-0.04702215287988889,-0.0032553120735083966,-0.06354919495044752,-0.06760273050317483,-0.06278104347849085,0.08419335668011706,0.010782879921621686,0.02098624391366794,0.055372104607503525,0.01187895577408109,0.09005097282161138,0.01115044007214906,1.0,0.02308237848551682,0.03847657964008927,-0.009350600703494843,-0.014809319012570748,0.11483558024565026,-0.0187639924109918,,7.405363214523787e-05
arg1-as-manner,0.014093865501796345,8.661760051268522e-05,-0.01718858978454298,-0.018755645794271945,0.06105028012177634,0.027192624397466322,-0.0349566809274894,,-0.011282220255904408,0.03433670586957923,-0.02314324471863155,0.020905010892804422,0.00905853291308157,0.018873896756104486,0.04361387029498624,-0.07274183902581356,-0.03864890607019019,0.114839483583289,-0.06512242621009932,0.06815852372219913,-0.09402594062610302,0.02308237848551682,1.0,-0.0216730931510247,-0.009206763718422335,-0.014581512493472035,-0.017272430690818567,-0.018475352549029593,,0.034461219629821925
arg2-as-manner,0.01731879308182001,-0.052463048634922,-0.07948808773628883,0.03492716068193158,0.0027271064847705444,-0.030086240862570383,0.1207784560108117,,-0.018427054616648605,0.010301031789669115,0.05399992695263962,-0.0069007080293422875,-0.008586850054049472,-0.06742861562395536,-0.00016423808227913162,-0.024630017915885673,-0.043371348898534806,0.040917309725595034,0.1075049670292225,-0.030608332864480885,0.01572133831431233,0.03847657964008927,-0.0216730931510247,1.0,-0.01503724745961781,0.027431514160285136,-0.028210761400037684,-0.030175472802406778,,0.011994991724510302
arg1-as-excpt,0.031137504112700255,-0.02568395193576592,-0.019935358545890732,-0.03239167413149597,-0.04223375989816366,0.1896553319028976,-0.008456231267022048,,-0.0027292369057379034,-0.0111999647634453,-0.015232307683011289,0.13213125359995834,0.13515357392483796,0.09909124296413045,-0.01638400130059885,-0.07074802365431364,-0.009349402725758528,-0.01684526397278823,-0.02779203472196436,-0.02194798721264242,-0.03115250646592117,-0.009350600703494843,-0.009206763718422335,-0.01503724745961781,1.0,-0.003527355532510124,-0.004178304821563083,-0.00446929885072416,,-0.008298912597085525
arg2-as-excpt,-0.0032520132599037897,-0.001911575328289617,0.015434747683070845,-0.020520357111237963,0.06137029363661076,-0.01850638234460838,-0.013392832230617978,,-0.004322518015644447,-0.017738309694843492,-0.02412466438557629,0.01741026533510338,0.027472690038460465,-0.005026640309715569,-0.025948696736911865,-0.08214453250697171,-0.014807421676235938,-0.026679236546882614,0.01576637717622775,0.0023768354759654943,0.006355831627742974,-0.014809319012570748,-0.014581512493472035,0.027431514160285136,-0.003527355532510124,1.0,-0.006617526616355567,-0.007078397906366811,,-0.013143673653153266
arg2-as-subst,0.01995944539625145,-0.015347933194026135,0.029288143378088192,0.029859973436157806,0.009996689395628464,-0.021921608374175186,-0.015864387631987577,,-0.005120209091372234,-0.021011793180825623,0.014120254660887952,0.004365898408605387,0.014415463152525098,0.031850008380098424,-0.03073735088222381,-0.039378774894814526,0.17901148126936245,-0.03160270680742378,-0.05213949311324471,-0.0030324617799973655,-0.05059625168764298,0.11483558024565026,-0.017272430690818567,-0.028210761400037684,-0.004178304821563083,-0.006617526616355567,1.0,-0.008384667728707211,,-0.015569248546641743
arg1-as-subst,0.040357000089916197,0.028976048895903113,-0.008796629008009732,-0.045424261722820436,0.01413343857118787,-0.023448317750085698,-0.016969247682738553,,-0.0054768011394096,0.029908323458997063,-0.030566903114480064,0.02799812310627332,0.005628822796929004,0.08676946217045349,0.004363964550219806,-0.020750338168359868,0.10587881695109613,-0.033803646992263674,-0.03213904634549888,0.014840697120829999,-0.03228962081674551,-0.0187639924109918,-0.018475352549029593,-0.030175472802406778,-0.00446929885072416,-0.007078397906366811,-0.008384667728707211,1.0,,-0.016653553919054154
differentcon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
norel,0.04751945367578203,-0.00394592975599504,0.013546656804360822,-0.03383275888778133,-0.02345319038577617,0.013327475024737006,0.007986256917371301,,-0.010169714643319092,0.015587425666076293,0.012867115062039509,0.038828933237760925,-0.018482305181865985,-0.03244834739509458,-0.019683327442644418,-0.022488227774609397,-0.03483785434915441,0.08554914065803086,-0.02207505373877299,0.03456910375209631,-0.06831308199060082,7.405363214523787e-05,0.034461219629821925,0.011994991724510302,-0.008298912597085525,-0.013143673653153266,-0.015569248546641743,-0.016653553919054154,,1.0
