,synchronous,precedence,succession,reason,result,arg1-as-cond,arg2-as-cond,arg1-as-negcond,arg2-as-negcond,arg1-as-goal,arg2-as-goal,arg1-as-denier,arg2-as-denier,contrast,similarity,conjunction,disjunction,arg1-as-instance,arg2-as-instance,arg1-as-detail,arg2-as-detail,equivalence,arg1-as-manner,arg2-as-manner,arg1-as-excpt,arg2-as-excpt,arg2-as-subst,differentcon,norel
arg2-as-goal,0.004625325892768449,0.015213200388064105,-0.007592350514206305,0.011336508193257013,-0.018987904704560243,,-0.0014442047216963346,-0.0012313373655925234,,-0.001570257653990988,1.0,-0.0045558099938355886,-0.0023395716822394246,-0.005486272351625607,-0.012658795026726614,0.014645511925777422,-0.0020441449263832747,-0.005260844116391495,0.00557405367706011,0.016998767437577156,0.0059307542698376365,-0.005868675705991427,-0.0015702578770893216,-0.00238852230411089,-0.0007537471879333337,-0.001508538789169489,-0.007592583833781762,0.0025900768822177075,-0.006233543612396558
arg1-as-denier,-0.05201807439637706,-0.09795177486448775,0.030484865148122896,0.026452372749066887,-0.09015846686736365,,0.011601572728957973,-0.00281403997728365,,0.006235566644883929,-0.0045558099938355886,1.0,0.20800316095383276,0.10464882374180477,-0.04205532721821538,-0.07056812584260864,0.008625280249327875,-0.01442853989739345,-0.04952887272188663,-0.0068249804138828495,-0.019728699708817687,-0.008895860897294449,-0.011278819109732361,-0.0016274885964972076,0.00858718127895011,0.018612086524441296,0.03898030980570209,0.048066564647274324,-0.009204479847837246
arg2-as-denier,-0.022071508701934642,-0.011863413736985278,-0.018020182441303965,-0.0785977358681105,-0.025806782561121993,,0.021214095218451072,0.02538876895979667,,-0.014097772539712087,-0.0023395716822394246,0.20800316095383276,1.0,0.18244406224744686,-0.06675553233977645,-0.11737557117753576,-0.013898431780663264,-0.02919656452895685,-0.12668379833681695,-0.03147212803673754,-0.1809860044354848,-0.014156476620009848,-0.0047685296848115205,-0.006545352039935228,0.0042592280996259346,0.008425124891833731,0.08302700347455921,0.04248383517070873,0.02598711610101881
contrast,-0.039940046126220985,-0.09232527582204086,0.0016976562315522265,0.005783332763162627,-0.12586888013331923,,0.0013841630491846647,0.007705728868765734,,-0.003833942630990733,-0.005486272351625607,0.10464882374180477,0.18244406224744686,1.0,-0.0025581744009824173,-0.07739964677455637,0.03679817799824835,-0.011269581137069438,-0.041313764771067754,-0.013953335895148643,-0.07412221764565632,0.00959892185052124,-0.010920720699047651,-0.025940875206212598,0.007613979893888071,0.02725117189446807,0.11169584272372292,0.00703520619927907,-0.012126827118347179
similarity,-0.04560350755145193,-0.06389582148440467,-0.013976716201514396,-0.03223892804451066,-0.08711805349548979,,-0.0022915090178810367,0.0020561102081757495,,-0.016143071358411285,-0.012658795026726614,-0.04205532721821538,-0.06675553233977645,-0.0025581744009824173,1.0,0.16041783112252683,0.036928450176456,-0.0022335387631115676,0.049331686903124394,-0.013204525733428889,-0.056441772633296465,0.01644274216851234,0.004740570742622545,-0.0039072618492909566,-0.007748915988458213,-0.01550856909284913,-0.025727768954692826,-0.06891996623563369,-0.0032453753935952753
conjunction,-0.0081490505458792,-0.10069091978094946,0.0015666491523833022,-0.13908169423407238,-0.2768182347320888,,-0.026298169708764214,-0.012441616929241003,,-0.005754929555359342,0.014645511925777422,-0.07056812584260864,-0.11737557117753576,-0.07739964677455637,0.16041783112252683,1.0,-0.004309367575898199,-0.05334066875115272,-0.06781521109938693,-0.09880811066971534,-0.07655613285680647,-0.0385371294136969,0.0023896977403013234,-0.021739234114257388,-0.0015560195082981736,-0.005035327270915364,-0.09159399715781932,-0.04007033204664865,0.032575447262495255
disjunction,-0.0015770960667534236,-0.019708337528454887,8.469224919035125e-05,0.00994726082003618,-0.017303647899676325,,-0.002397525989134951,0.07346145500457513,,-0.0026067866130914524,-0.0020441449263832747,0.008625280249327875,-0.013898431780663264,0.03679817799824835,0.036928450176456,-0.004309367575898199,1.0,0.009302634226963771,0.00430274205275358,0.0010209271580629074,-0.013516024849657624,-0.009742595572179444,-0.0026067869834572634,-0.003965188739313959,-0.0012512966099327916,-0.002504327051641158,0.03829946957774246,-0.007419590417153543,0.005015790360796073
arg1-as-instance,-0.010358254129119547,-0.0372154588612083,-0.011919827351924836,0.025207128389326774,-0.04430570061267991,,0.04481615152899054,-0.005260843369519072,,0.04019186269142937,-0.005260844116391495,-0.01442853989739345,-0.02919656452895685,-0.011269581137069438,-0.0022335387631115676,-0.05334066875115272,0.009302634226963771,1.0,0.056926598654613705,0.011608071814649354,0.08981920881908595,-0.012201519896958517,0.0172611721939011,0.03617377792510946,-0.0032203569929225595,-0.0064451762030674,0.002995023298671866,-0.008820981601947346,-0.008393977943897226
arg2-as-instance,-0.11618567514497402,-0.167101390854918,0.018003517494738233,0.09568208958262861,-0.15470408329338578,,0.025827330301435268,0.002519380392874312,,-0.013795439682643327,0.00557405367706011,-0.04952887272188663,-0.12668379833681695,-0.041313764771067754,0.049331686903124394,-0.06781521109938693,0.00430274205275358,0.056926598654613705,1.0,-0.012621775840284018,0.21820746012691006,0.022865581788277016,0.0010394449883463339,0.02728406111180306,-0.013740795301166652,0.02193265411666604,-0.039103229291801864,-0.09089285706968749,-0.023739428165967153
arg1-as-detail,-0.10395555669713613,-0.11814609180076353,-0.05236228207150441,0.10070702274691322,0.07212819102573965,,0.0015345612510746687,0.029934139027482345,,0.005424114728831264,0.016998767437577156,-0.0068249804138828495,-0.03147212803673754,-0.013953335895148643,-0.013204525733428889,-0.09880811066971534,0.0010209271580629074,0.011608071814649354,-0.012621775840284018,1.0,0.018263111539378214,0.08127280011279835,0.005428112300069704,0.0029837234721381734,-0.009874422910609035,-0.0017233755879777046,0.011451835259771994,0.008018168112898854,0.002957216476396635
arg2-as-detail,-0.06904516247562283,-0.2583014680108983,0.04136806741721806,0.13594454976901377,-0.30405675885866046,,-0.0029178160751997385,-0.005197047730494046,,-0.002798264915702214,0.0059307542698376365,-0.019728699708817687,-0.1809860044354848,-0.07412221764565632,-0.056441772633296465,-0.07655613285680647,-0.013516024849657624,0.08981920881908595,0.21820746012691006,0.018263111539378214,1.0,0.030283143927375068,-0.013213812073241831,0.0404635782065484,-0.0071515769205157875,0.0015003065066776628,-0.020844704585286672,-0.03428998643140326,-0.016928645383583393
equivalence,-0.03568855893979109,-0.0434969459022393,-0.027130082665894978,0.058296921795172825,0.021572798145754243,,-0.006883221607879866,-0.005868674872826265,,-0.007484002268870957,-0.005868675705991427,-0.008895860897294449,-0.014156476620009848,0.00959892185052124,0.01644274216851234,-0.0385371294136969,-0.009742595572179444,-0.012201519896958517,0.022865581788277016,0.08127280011279835,0.030283143927375068,1.0,-0.007484003332179535,0.01649919785531553,-0.0035924331591766583,0.014823129609710528,0.04171388621445271,-0.027281585174474328,-0.007630130683664287
arg1-as-manner,0.008036394047591693,-0.004824540764699105,-0.009682112182376223,0.00047594037966086557,0.010080718236688466,,-0.0018417158301131341,-0.0015702576541626813,,-0.002002464287275467,-0.0015702578770893216,-0.011278819109732361,-0.0047685296848115205,-0.010920720699047651,0.004740570742622545,0.0023896977403013234,-0.0026067869834572634,0.0172611721939011,0.0010394449883463339,0.005428112300069704,-0.013213812073241831,-0.007484003332179535,1.0,0.04775897703264325,-0.0009612128440416272,-0.0019237575716341735,0.006851654989747029,-0.0026168953108436873,-0.007949299553020907
arg2-as-manner,-0.02222676197822473,-0.015264022735899883,-0.003851413057851305,0.009463052414294171,0.014497129286491352,,-0.0028014375232515362,-0.0023885219650167447,,0.04775116011302967,-0.00238852230411089,-0.0016274885964972076,-0.006545352039935228,-0.025940875206212598,-0.0039072618492909566,-0.021739234114257388,-0.003965188739313959,0.03617377792510946,0.02728406111180306,0.0029837234721381734,0.0404635782065484,0.01649919785531553,0.04775897703264325,1.0,-0.001462102722418435,-0.0029262313754908494,-0.003829599786412234,0.0008550206869106584,0.01424673073128477
arg1-as-excpt,-0.007014110485431179,-0.01340520662081566,-0.0046475581732146444,0.000160603174575059,-0.00438262540101332,,-0.0008840510518522401,0.20373155474841348,,-0.000961212707474897,-0.0007537471879333337,0.00858718127895011,0.0042592280996259346,0.007613979893888071,-0.007748915988458213,-0.0015560195082981736,-0.0012512966099327916,-0.0032203569929225595,-0.013740795301166652,-0.009874422910609035,-0.0071515769205157875,-0.0035924331591766583,-0.0009612128440416272,-0.001462102722418435,1.0,0.16593565605892188,0.029744221613758524,0.00536119236338799,-0.003815782281083493
arg2-as-excpt,0.009533728305285764,-0.0053432844085473125,-0.009301556133747169,-0.0030727641957495368,-0.01581264922080239,,-0.0017693270697059578,-0.0015085385750049946,,-0.0019237572983114822,-0.001508538789169489,0.018612086524441296,0.008425124891833731,0.02725117189446807,-0.01550856909284913,-0.005035327270915364,-0.002504327051641158,-0.0064451762030674,0.02193265411666604,-0.0017233755879777046,0.0015003065066776628,0.014823129609710528,-0.0019237575716341735,-0.0029262313754908494,0.16593565605892188,1.0,-0.009301841978707062,0.01168187884059615,-0.007636851817414943
arg2-as-subst,-0.010396189599837659,-0.028784535278261317,-0.028964570581603268,0.020589412577507613,-0.005503204565902083,,-0.008905149938847605,-0.007592582755876515,,-0.009682408346503829,-0.007592583833781762,0.03898030980570209,0.08302700347455921,0.11169584272372292,-0.025727768954692826,-0.09159399715781932,0.03829946957774246,0.002995023298671866,-0.039103229291801864,0.011451835259771994,-0.020844704585286672,0.04171388621445271,0.006851654989747029,-0.003829599786412234,0.029744221613758524,-0.009301841978707062,1.0,0.01205444632020365,-0.012721922160934806
differentcon,0.061203442967571645,0.028405783076294162,0.009782361323108503,-0.0471830022938078,-0.0807985141162056,,-0.010271814483865015,-0.014654837070238682,,-0.00262105517012241,0.0025900768822177075,0.048066564647274324,0.04248383517070873,0.00703520619927907,-0.06891996623563369,-0.04007033204664865,-0.007419590417153543,-0.008820981601947346,-0.09089285706968749,0.008018168112898854,-0.03428998643140326,-0.027281585174474328,-0.0026168953108436873,0.0008550206869106584,0.00536119236338799,0.01168187884059615,0.01205444632020365,1.0,0.04571061549483761
norel,0.0015778897478471482,-0.01148721862126236,0.004557209693993634,-0.01834741261930257,-0.015950313756217183,,-0.007311165965893326,-0.006233542727431767,,-0.007949298423604197,-0.006233543612396558,-0.009204479847837246,0.02598711610101881,-0.012126827118347179,-0.0032453753935952753,0.032575447262495255,0.005015790360796073,-0.008393977943897226,-0.023739428165967153,0.002957216476396635,-0.016928645383583393,-0.007630130683664287,-0.007949299553020907,0.01424673073128477,-0.003815782281083493,-0.007636851817414943,-0.012721922160934806,0.04571061549483761,1.0
