,synchronous,asynchronous,cause,purpose,concession,contrast,similarity,conjunction,disjunction,instantiation,level-of-detail,substitution
85,¬V,¬V,¬V,¬V,V,¬V,¬V,¬V,¬V,¬V,¬V,¬V
86,¬V,¬V,¬V,¬V,V,¬V,¬V,¬V,¬V,¬V,V,¬V
87,¬V,¬V,¬V,¬V,¬V,¬V,¬V,V,¬V,¬V,¬V,¬V
88,¬V,¬V,V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V
89,¬V,¬V,V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V
90,¬V,¬V,V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V
91,¬V,¬V,V,¬V,V,¬V,¬V,¬V,¬V,¬V,¬V,¬V
92,¬V,¬V,¬V,¬V,¬V,¬V,¬V,V,¬V,¬V,¬V,¬V
93,¬V,¬V,V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,V,¬V
94,¬V,¬V,V,¬V,¬V,¬V,¬V,V,¬V,¬V,¬V,¬V
95,¬V,¬V,V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V
96,¬V,¬V,¬V,¬V,¬V,¬V,¬V,V,¬V,¬V,V,¬V
97,¬V,¬V,V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V
98,¬V,¬V,V,¬V,V,¬V,¬V,¬V,¬V,¬V,¬V,¬V
99,¬V,¬V,V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V
100,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,V,V,¬V
101,¬V,¬V,V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,V,¬V
102,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,V,¬V
103,¬V,¬V,V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V
104,¬V,¬V,¬V,¬V,¬V,¬V,¬V,V,¬V,¬V,¬V,¬V
105,¬V,¬V,V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V
106,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,V,¬V
107,¬V,¬V,V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V
108,¬V,¬V,V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V
109,¬V,¬V,¬V,¬V,V,¬V,¬V,¬V,¬V,¬V,¬V,¬V
110,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,V,¬V
111,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,V,V,¬V
112,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,V,V,¬V
113,¬V,¬V,V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V
114,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V
115,¬V,¬V,¬V,¬V,V,¬V,¬V,¬V,¬V,¬V,¬V,¬V
116,¬V,¬V,V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,V,¬V
117,¬V,¬V,V,¬V,¬V,¬V,¬V,V,¬V,¬V,¬V,¬V
118,¬V,¬V,V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,V,¬V
119,¬V,¬V,V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V
120,¬V,V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,V,¬V
121,¬V,¬V,¬V,¬V,¬V,¬V,¬V,V,¬V,¬V,¬V,¬V
122,¬V,¬V,V,¬V,¬V,¬V,¬V,¬V,¬V,V,¬V,¬V
123,¬V,¬V,V,¬V,¬V,¬V,¬V,V,¬V,¬V,¬V,¬V
124,¬V,¬V,V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,V,¬V
125,¬V,¬V,V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V
126,¬V,¬V,V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V
127,¬V,¬V,V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V
128,¬V,¬V,V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V
129,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,V,V,¬V
130,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V
131,¬V,¬V,¬V,¬V,V,¬V,¬V,¬V,¬V,¬V,¬V,¬V
132,¬V,¬V,V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V
133,¬V,¬V,V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,V,¬V
134,¬V,¬V,V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V
135,¬V,¬V,¬V,¬V,¬V,¬V,¬V,V,¬V,¬V,¬V,¬V
136,¬V,¬V,¬V,¬V,V,¬V,¬V,¬V,¬V,¬V,¬V,¬V
137,¬V,¬V,V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V
138,¬V,¬V,¬V,¬V,¬V,¬V,¬V,V,¬V,¬V,¬V,¬V
139,¬V,¬V,¬V,¬V,V,¬V,¬V,¬V,¬V,¬V,¬V,¬V
140,¬V,¬V,¬V,¬V,V,¬V,¬V,¬V,¬V,V,¬V,¬V
141,¬V,¬V,V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,V,¬V
142,¬V,¬V,V,¬V,¬V,¬V,¬V,V,¬V,¬V,¬V,¬V
143,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,V,¬V,¬V
144,¬V,¬V,V,¬V,¬V,¬V,¬V,V,¬V,¬V,¬V,¬V
145,¬V,¬V,¬V,¬V,¬V,¬V,¬V,V,¬V,¬V,¬V,¬V
146,¬V,¬V,¬V,¬V,¬V,¬V,¬V,V,¬V,¬V,¬V,¬V
147,¬V,¬V,¬V,¬V,¬V,¬V,¬V,V,¬V,¬V,¬V,¬V
148,¬V,¬V,¬V,¬V,¬V,¬V,V,V,¬V,¬V,¬V,¬V
149,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,V,¬V
150,¬V,¬V,V,¬V,¬V,¬V,¬V,V,¬V,¬V,¬V,¬V
151,¬V,¬V,¬V,¬V,¬V,¬V,¬V,V,¬V,¬V,V,¬V
152,¬V,¬V,V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V
153,¬V,¬V,¬V,¬V,¬V,¬V,¬V,V,¬V,¬V,¬V,¬V
154,¬V,¬V,V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V
155,¬V,¬V,V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,V,¬V
156,¬V,¬V,¬V,¬V,¬V,¬V,¬V,V,¬V,¬V,¬V,¬V
157,¬V,V,¬V,¬V,¬V,¬V,¬V,V,¬V,¬V,¬V,¬V
158,¬V,¬V,V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V
159,¬V,¬V,V,¬V,¬V,¬V,¬V,V,¬V,¬V,¬V,¬V
160,¬V,¬V,V,¬V,¬V,¬V,¬V,V,¬V,V,¬V,¬V
161,¬V,¬V,V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V
162,¬V,¬V,V,¬V,¬V,¬V,¬V,¬V,¬V,V,¬V,¬V
163,¬V,¬V,V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,V,¬V
164,¬V,¬V,V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V
165,¬V,¬V,V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V
166,¬V,¬V,V,¬V,¬V,¬V,¬V,V,¬V,¬V,¬V,¬V
167,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,V,¬V
168,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,V,¬V
169,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,V,V,¬V
170,¬V,¬V,¬V,¬V,V,¬V,¬V,¬V,¬V,¬V,¬V,¬V
171,¬V,¬V,V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V
172,¬V,¬V,V,¬V,¬V,¬V,¬V,V,¬V,¬V,¬V,¬V
173,¬V,¬V,V,¬V,¬V,¬V,¬V,V,¬V,¬V,¬V,¬V
174,¬V,¬V,¬V,¬V,¬V,¬V,¬V,V,¬V,¬V,¬V,¬V
175,¬V,¬V,V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V
176,¬V,¬V,¬V,¬V,¬V,¬V,¬V,V,¬V,¬V,V,¬V
177,¬V,¬V,V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V
178,¬V,¬V,¬V,¬V,¬V,¬V,¬V,V,¬V,¬V,¬V,¬V
179,¬V,¬V,V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V
180,¬V,¬V,V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V
181,¬V,¬V,V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V
182,¬V,¬V,V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V
183,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,V,¬V,¬V
184,¬V,¬V,V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V
185,¬V,¬V,V,¬V,¬V,¬V,¬V,¬V,¬V,V,¬V,¬V
186,¬V,¬V,V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V
187,¬V,¬V,V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V
188,¬V,¬V,V,¬V,¬V,¬V,¬V,V,¬V,¬V,¬V,¬V
189,¬V,¬V,¬V,¬V,V,¬V,¬V,¬V,¬V,¬V,¬V,¬V
190,¬V,¬V,¬V,¬V,V,¬V,¬V,¬V,¬V,¬V,¬V,¬V
191,¬V,¬V,V,¬V,¬V,V,¬V,¬V,¬V,¬V,¬V,¬V
192,¬V,¬V,¬V,¬V,¬V,¬V,¬V,V,¬V,¬V,¬V,¬V
193,¬V,¬V,V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,V,¬V
194,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V
195,¬V,¬V,¬V,¬V,¬V,¬V,¬V,V,¬V,¬V,¬V,¬V
196,¬V,¬V,V,¬V,V,¬V,¬V,¬V,¬V,¬V,¬V,¬V
197,¬V,¬V,¬V,¬V,¬V,¬V,¬V,V,¬V,¬V,V,¬V
198,¬V,¬V,¬V,¬V,V,¬V,¬V,V,¬V,¬V,¬V,¬V
199,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,V,¬V,¬V
200,¬V,¬V,¬V,¬V,¬V,¬V,¬V,V,¬V,¬V,¬V,¬V
201,¬V,V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V
202,¬V,¬V,¬V,¬V,V,¬V,¬V,¬V,¬V,¬V,¬V,¬V
203,¬V,¬V,¬V,¬V,¬V,¬V,¬V,V,¬V,¬V,¬V,¬V
204,¬V,¬V,¬V,¬V,¬V,¬V,¬V,V,¬V,¬V,V,¬V
205,¬V,¬V,V,¬V,¬V,¬V,¬V,V,¬V,¬V,¬V,¬V
206,¬V,¬V,V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V
207,¬V,¬V,¬V,¬V,¬V,¬V,¬V,V,¬V,V,¬V,¬V
208,¬V,¬V,¬V,¬V,V,¬V,¬V,¬V,¬V,¬V,¬V,¬V
209,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,V,V,¬V
210,¬V,¬V,V,¬V,¬V,¬V,¬V,V,¬V,¬V,¬V,¬V
211,¬V,¬V,V,¬V,¬V,¬V,¬V,V,¬V,¬V,¬V,¬V
212,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,V,¬V
213,¬V,¬V,V,¬V,¬V,¬V,¬V,V,¬V,¬V,¬V,¬V
214,¬V,V,¬V,¬V,V,¬V,¬V,V,¬V,¬V,¬V,¬V
215,¬V,V,V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V
216,¬V,¬V,¬V,¬V,V,¬V,¬V,¬V,¬V,¬V,¬V,¬V
217,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V
218,¬V,¬V,¬V,¬V,¬V,¬V,¬V,V,¬V,¬V,¬V,¬V
219,¬V,¬V,V,¬V,¬V,¬V,¬V,V,¬V,¬V,¬V,¬V
220,¬V,¬V,V,¬V,¬V,¬V,¬V,V,¬V,¬V,¬V,¬V
221,¬V,¬V,V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,V,¬V
222,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,V,¬V
223,¬V,¬V,V,¬V,¬V,¬V,¬V,V,¬V,¬V,V,¬V
224,¬V,¬V,¬V,¬V,¬V,¬V,¬V,V,¬V,¬V,¬V,¬V
225,¬V,¬V,¬V,¬V,¬V,¬V,¬V,V,¬V,¬V,V,¬V
226,¬V,¬V,V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,V,¬V
227,¬V,¬V,¬V,¬V,¬V,¬V,¬V,V,¬V,¬V,¬V,¬V
228,¬V,¬V,V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,V,¬V
229,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,V,V,¬V
230,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,V,¬V
231,¬V,¬V,V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V
232,¬V,¬V,V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,V,¬V
233,¬V,¬V,V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V
234,¬V,¬V,V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,V,¬V
235,¬V,¬V,V,¬V,¬V,¬V,¬V,V,¬V,¬V,¬V,¬V
236,¬V,¬V,V,¬V,V,¬V,¬V,¬V,¬V,¬V,¬V,¬V
237,¬V,¬V,¬V,¬V,V,¬V,¬V,¬V,¬V,¬V,V,¬V
238,¬V,¬V,V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V
239,¬V,¬V,V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V
240,¬V,¬V,V,¬V,¬V,¬V,¬V,V,¬V,¬V,¬V,¬V
241,¬V,¬V,¬V,¬V,¬V,¬V,¬V,V,¬V,¬V,¬V,¬V
242,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,V,¬V
243,¬V,¬V,V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,V,¬V
244,¬V,¬V,V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V
245,¬V,¬V,V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V
246,¬V,¬V,¬V,¬V,¬V,¬V,¬V,V,¬V,¬V,¬V,¬V
247,¬V,¬V,V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V
248,¬V,¬V,¬V,¬V,¬V,¬V,¬V,V,¬V,¬V,V,¬V
249,¬V,¬V,¬V,¬V,¬V,¬V,¬V,V,¬V,¬V,¬V,¬V
250,¬V,¬V,¬V,¬V,V,¬V,¬V,¬V,¬V,¬V,¬V,¬V
251,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,V,¬V
252,¬V,¬V,¬V,¬V,¬V,V,¬V,¬V,¬V,¬V,¬V,¬V
253,¬V,¬V,V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V
254,¬V,¬V,V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,V,¬V
255,¬V,¬V,¬V,¬V,¬V,¬V,¬V,V,¬V,¬V,¬V,¬V
256,¬V,¬V,V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V
257,¬V,¬V,V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V
258,¬V,¬V,V,¬V,¬V,¬V,¬V,V,¬V,¬V,¬V,¬V
259,¬V,¬V,¬V,¬V,¬V,¬V,¬V,V,¬V,¬V,¬V,¬V
260,¬V,¬V,V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V
261,¬V,¬V,V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V
262,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,V,¬V,¬V
263,¬V,¬V,¬V,¬V,¬V,¬V,¬V,V,¬V,V,¬V,¬V
264,¬V,¬V,V,¬V,¬V,¬V,¬V,V,¬V,¬V,¬V,¬V
265,¬V,¬V,V,¬V,¬V,¬V,¬V,¬V,¬V,V,¬V,¬V
266,¬V,¬V,¬V,¬V,¬V,¬V,¬V,V,¬V,¬V,¬V,¬V
267,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,V,¬V
268,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,V,¬V,¬V
269,¬V,¬V,V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V
270,¬V,¬V,V,¬V,¬V,¬V,¬V,V,¬V,¬V,¬V,¬V
271,¬V,¬V,¬V,¬V,¬V,¬V,¬V,V,¬V,¬V,¬V,¬V
272,¬V,¬V,V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V
273,¬V,¬V,V,¬V,¬V,¬V,¬V,V,¬V,¬V,¬V,¬V
274,¬V,¬V,V,¬V,¬V,¬V,¬V,V,¬V,¬V,¬V,¬V
275,¬V,¬V,V,¬V,¬V,¬V,¬V,V,¬V,¬V,¬V,¬V
276,¬V,¬V,V,¬V,¬V,¬V,¬V,V,¬V,¬V,¬V,¬V
277,¬V,¬V,V,¬V,¬V,¬V,¬V,V,¬V,¬V,¬V,¬V
278,¬V,¬V,¬V,¬V,V,¬V,¬V,V,¬V,¬V,¬V,¬V
279,¬V,¬V,¬V,¬V,V,¬V,¬V,¬V,¬V,¬V,¬V,¬V
280,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,V,¬V
281,¬V,¬V,V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V
282,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,V,¬V,¬V
283,¬V,¬V,V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V
284,¬V,¬V,¬V,¬V,V,¬V,¬V,¬V,¬V,¬V,¬V,¬V
285,¬V,¬V,V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,V
286,¬V,¬V,V,¬V,V,¬V,¬V,¬V,¬V,¬V,¬V,¬V
287,¬V,¬V,V,¬V,V,¬V,¬V,¬V,¬V,¬V,¬V,¬V
288,¬V,¬V,V,¬V,¬V,¬V,¬V,¬V,¬V,V,¬V,¬V
289,¬V,¬V,V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V
290,¬V,¬V,¬V,¬V,V,¬V,¬V,V,¬V,¬V,¬V,¬V
291,¬V,¬V,V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V,¬V
292,¬V,¬V,¬V,¬V,V,¬V,¬V,¬V,¬V,¬V,¬V,¬V
293,¬V,¬V,¬V,¬V,¬V,¬V,¬V,V,¬V,¬V,¬V,¬V
